year,County,Type,Mean
2000,Alameda,SFG,97.662131147541
2000,Alameda,SFL,2.61148917197452
2000,Alameda,SPY,6.51343020833333
2000,Alameda,TT,597307.692307692
2000,Contra Costa,2B,252151.25
2000,Contra Costa,3B,344611.904761905
2000,Contra Costa,4B,431519.444444444
2000,Contra Costa,A,380593.939393939
2000,Contra Costa,BT,211075.416666667
2000,Contra Costa,DV,2.133875
2000,Contra Costa,FR,3.28921066666667
2000,Contra Costa,HF,1.5306984
2000,Contra Costa,IV,97.206125
2000,Contra Costa,MSP,362058.043161134
2000,Contra Costa,MSPSF,200.538796038525
2000,Contra Costa,MT,379827.380952381
2000,Contra Costa,MVSF,202.083333333333
2000,Contra Costa,SF,398964.393939394
2000,Contra Costa,SFG,98.4406330543933
2000,Contra Costa,SFL,1.92558351648352
2000,Contra Costa,SPY,6.9622925
2000,Contra Costa,TT,530644.791666667
2000,Marin,2B,477197.916666667
2000,Marin,3B,630231.25
2000,Marin,4B,841134.375
2000,Marin,A,639227.083333333
2000,Marin,BT,210290.476190476
2000,Marin,DV,3.38916666666667
2000,Marin,FR,1.36846111111111
2000,Marin,HF,0.744191666666667
2000,Marin,IV,95.4690625
2000,Marin,MSP,584352.079067949
2000,Marin,MSPSF,336.02273774507
2000,Marin,MT,404134.375
2000,Marin,MVSF,353.270833333333
2000,Marin,SF,709330.208333333
2000,Marin,SFG,97.2845674698795
2000,Marin,SFL,3.80501666666667
2000,Marin,SPY,6.09104791666667
2000,Marin,TT,752205.208333333
2000,Napa,2B,388247.916666667
2000,Napa,3B,312981.25
2000,Napa,4B,647637.5
2000,Napa,A,321083.333333333
2000,Napa,BT,228952.777777778
2000,Napa,DV,2.89791666666667
2000,Napa,FR,2.09323125
2000,Napa,HF,1.16971428571429
2000,Napa,IV,96.2575
2000,Napa,MSP,236495.5955875
2000,Napa,MSPSF,156.8873375
2000,Napa,MT,275522.916666667
2000,Napa,MVSF,203.291666666667
2000,Napa,SF,329460.416666667
2000,Napa,SFG,98.904275
2000,Napa,SFL,1.6435875
2000,Napa,SPY,5.64250416666667
2000,Napa,TT,632785.416666667
2000,Sacramento,2B,100765.740740741
2000,Sacramento,3B,156632.051282051
2000,Sacramento,4B,219185.714285714
2000,Sacramento,A,172193.452380952
2000,Sacramento,BT,117777.5
2000,Sacramento,DV,6.29452380952381
2000,Sacramento,FR,6.98947804878049
2000,Sacramento,HF,3.61885279503106
2000,Sacramento,IV,91.2872619047619
2000,Sacramento,MSP,152522.759103571
2000,Sacramento,MSPSF,100.79371547619
2000,Sacramento,MT,175925
2000,Sacramento,MVSF,100.517857142857
2000,Sacramento,SF,191216.071428571
2000,Sacramento,SFG,98.5866351190476
2000,Sacramento,SFL,1.75947338709677
2000,Sacramento,SPY,7.1987119047619
2000,Sacramento,TT,270946.527777778
2000,San Francisco,2B,457866.666666667
2000,San Francisco,3B,533600
2000,San Francisco,4B,600058.333333333
2000,San Francisco,A,469108.333333333
2000,San Francisco,BT,252383.333333333
2000,San Francisco,DV,1.87166666666667
2000,San Francisco,FR,0.484541666666667
2000,San Francisco,HF,0.202583333333333
2000,San Francisco,IV,97.74
2000,San Francisco,MSP,487320.833333333
2000,San Francisco,MSPSF,386.331216666667
2000,San Francisco,MT,361733.333333333
2000,San Francisco,MVSF,375.333333333333
2000,San Francisco,SF,454816.666666667
2000,San Francisco,SFG,99.631875
2000,San Francisco,SFL,0.368125
2000,San Francisco,SPY,5.28721666666667
2000,San Francisco,TT,586091.666666667
2000,San Mateo,2B,409295.3125
2000,San Mateo,3B,550572.395833333
2000,San Mateo,4B,749888.541666667
2000,San Mateo,A,611583.333333333
2000,San Mateo,BT,267566.666666667
2000,San Mateo,DV,0.754944444444444
2000,San Mateo,FR,1.37544864864865
2000,San Mateo,HF,0.496742857142857
2000,San Mateo,IV,98.9707222222222
2000,San Mateo,MSP,586638.075630857
2000,San Mateo,MSPSF,353.009952840909
2000,San Mateo,MT,403870.833333333
2000,San Mateo,MVSF,359.8125
2000,San Mateo,SF,630884.375
